colonne,provenance,motif
dist_london_open_pct,C,nulls 25% dans sa fenetre
dist_ny_open_pct,B,plausibilite OK
dist_after_open_pct,C,moins de 100 valeurs dans sa fenetre
dist_asia_high_pct,C,remplacee par recalc.py
dist_asia_low_pct,C,remplacee par recalc.py
dist_london_high_pct,C,remplacee par recalc.py
dist_london_low_pct,C,remplacee par recalc.py
dist_us_high_pct,C,nulls 71% par jour
dist_us_low_pct,C,nulls 71% par jour
dist_after_high_pct,C,moins de 100 valeurs dans sa fenetre
dist_after_low_pct,C,moins de 100 valeurs dans sa fenetre
is_cash_session,B,plausibilite OK
session_date,C,metadonnee ou fuite
session_date_trading,C,moins de 100 valeurs
days_since_roll,B,plausibilite OK
roll_phase,B,plausibilite OK
is_news_5m,R,"evenement rare, actif 0.2%"
is_news_15m,R,"evenement rare, actif 0.6%"
is_news_30m,R,"evenement rare, actif 1.2%"
is_news_60m,B,plausibilite OK
is_critical_news_60m,R,"evenement rare, actif 1.3%"
news_seconds_until,C,nulls 15% dans sa fenetre
news_minutes_until,C,nulls 15% dans sa fenetre
is_eco_blocked,R,"evenement rare, actif 1.3%"
is_session_blocked,B,plausibilite OK
is_blocked_combined,B,plausibilite OK
delta_div_buy,B,plausibilite OK
delta_div_sell,B,plausibilite OK
delta_div_strength,B,plausibilite OK
delta_divergence_any,B,plausibilite OK
delta_div_buy_clean,B,plausibilite OK
delta_div_sell_clean,B,plausibilite OK
n_delta_div_buy_zones_active,B,plausibilite OK
n_delta_div_sell_zones_active,B,plausibilite OK
dist_delta_div_buy_nearest_atr,C,nulls 54% par jour
dist_delta_div_sell_nearest_atr,C,nulls 57% par jour
ctx_div_density_20,B,plausibilite OK
ctx_bars_since_div,C,nulls 13% par jour
ctx_climax_signal,B,plausibilite OK
ctx_failed_auction,B,plausibilite OK
ctx_absorption_score_5,B,plausibilite OK
ctx_absorption_streak_5,B,plausibilite OK
ctx_instant_absorption,B,"desaccord de seuil, niveau permissif retenu"
ctx_delta_exhaustion,B,plausibilite OK
ctx_momentum_exhaustion,B,plausibilite OK
ctx_poor_high,B,plausibilite OK
ctx_poor_low,B,plausibilite OK
ctx_excess_high_bars,B,plausibilite OK
ctx_excess_low_bars,B,plausibilite OK
ctx_double_top_trap,B,plausibilite OK
ctx_vol_sell_buy_ratio_5,B,plausibilite OK
ctx_vol_slope_5,B,plausibilite OK
ctx_vol_z_20,B,"desaccord de seuil, niveau permissif retenu"
ctx_finish_strength_mean_5,B,plausibilite OK
ctx_dist_vwap_velocity,B,plausibilite OK
ctx_vwap_slope_accel,B,plausibilite OK
ctx_va_position_velocity,B,plausibilite OK
ctx_side_flip_count_10,B,plausibilite OK
ctx_range_vs_atr_10,B,plausibilite OK
ctx_price_slope_5,C,hors noyau (alias ou §7)
ctx_delta_sum_3,A,verifiee par identite
ctx_delta_slope_5,B,plausibilite OK
ctx_rvol_session,B,plausibilite OK
mq_gamma_condition,B,plausibilite OK
aggressor_imbalance,B,plausibilite OK
long_up_bar,B,plausibilite OK
long_dn_bar,B,plausibilite OK
range_h_minus_lprev_ticks,B,plausibilite OK
range_hprev_minus_l_ticks,B,plausibilite OK
long_dn_up_pattern,B,"desaccord de seuil, niveau permissif retenu"
long_up_dn_pattern,B,"desaccord de seuil, niveau permissif retenu"
n_long_up_zones_active,B,plausibilite OK
n_long_dn_zones_active,B,plausibilite OK
n_long_up_cluster_within_0_2pct,B,plausibilite OK
n_long_dn_cluster_within_0_2pct,B,plausibilite OK
bn_color_up_fwd1,C,metadonnee ou fuite
bn_color_dn_fwd1,C,metadonnee ou fuite
bn_color_up_2_fwd1,C,metadonnee ou fuite
bn_color_dn_2_fwd1,C,metadonnee ou fuite
n_color_up_zones_active,B,plausibilite OK
n_color_dn_zones_active,B,plausibilite OK
n_color_up_cluster_within_0_2pct,B,plausibilite OK
n_color_dn_cluster_within_0_2pct,B,plausibilite OK
ctx_session_phase,B,plausibilite OK
ctx_ib_extension_ratio,B,plausibilite OK
ctx_ib_position_velocity,C,nulls 44% dans sa fenetre
div_confluence_dmp,B,plausibilite OK
delta_divergence_clean,B,plausibilite OK
ctx_va_developing_10,B,plausibilite OK
ctx_cvd_session,B,plausibilite OK
ctx_div_at_swing,B,plausibilite OK
ctx_delta_sum_10,B,plausibilite OK
ctx_vol_z_5,B,plausibilite OK
ctx_rotation_factor_20,B,plausibilite OK
div_confluence_with_regime,B,plausibilite OK
ctx_price_delta_div_3,B,plausibilite OK
ctx_cvd_recovery_rate,B,plausibilite OK
ctx_mq_put_call_ratio,B,"desaccord de seuil, niveau permissif retenu"
div_regime_proxy_ok,B,plausibilite OK
ctx_va_width,B,plausibilite OK
ctx_trend_day_score,B,plausibilite OK
div_at_key_level_ticks,C,nulls 93% par jour
bar_edge_buy_fire,B,plausibilite OK
bar_edge_sell_fire,B,plausibilite OK
n_edge_buy_active,B,plausibilite OK
n_edge_sell_active,B,plausibilite OK
rvol_sell_strong,C,booleen actif 0.01% (mort)
rvol_extreme,R,"evenement rare, actif 0.7%"
rvol_buy_strong,C,booleen actif 0.01% (mort)
rvol_regime,B,plausibilite OK
n_big_ask_v2_t1,B,plausibilite OK
n_big_bid_v2_t1,B,plausibilite OK
n_big_ask_v2_t2,B,plausibilite OK
n_big_bid_v2_t2,B,plausibilite OK
n_big_ask_v2_t3,B,plausibilite OK
n_big_bid_v2_t3,B,plausibilite OK
n_big_ask_v2_t4,C,desaccord structurel ES/NQ
n_big_bid_v2_t4,C,desaccord structurel ES/NQ
max_big_ask_vol_in_bar,B,plausibilite OK
max_big_bid_vol_in_bar,B,plausibilite OK
prev_vah,C,hors noyau (alias ou §7)
prev_val,C,hors noyau (alias ou §7)
prev_vpoc,C,hors noyau (alias ou §7)
cur_vah,N,"niveau de prix (entree de recalc, pas feature)"
cur_val,N,"niveau de prix (entree de recalc, pas feature)"
cur_vpoc,N,"niveau de prix (entree de recalc, pas feature)"
open_830,C,hors noyau (alias ou §7)
ib_atr,C,nulls 42% dans sa fenetre
is_new_sess_high,B,plausibilite OK
ib_range,A,verifiee par identite
is_new_sess_low,B,plausibilite OK
sess_low,N,"niveau de prix (entree de recalc, pas feature)"
ib_low,N,"niveau de prix (entree de recalc, pas feature)"
date_et,C,metadonnee ou fuite
dist_cash_low_pct,C,nulls 75% par jour
open_cash,C,hors noyau (alias ou §7)
ib_high,N,"niveau de prix (entree de recalc, pas feature)"
dist_ib_low_pct,B,plausibilite OK
price_1030,N,"niveau de prix (entree de recalc, pas feature)"
ib_broken_dn,B,plausibilite OK
sess_high,N,"niveau de prix (entree de recalc, pas feature)"
dist_ib_high_pct,B,plausibilite OK
dist_cash_high_pct,C,nulls 75% par jour
im_cross_delta_agreement_5,B,plausibilite OK
im_cross_delta_weighted_5,B,plausibilite OK
im_smt_divergence,B,plausibilite OK
im_delta_day_divergence,B,plausibilite OK
im_price_ratio_slope_10,B,plausibilite OK
im_volume_lead,B,plausibilite OK
im_rolling_correlation_10,B,plausibilite OK
im_ltr_slope_diff,B,plausibilite OK
im_cross_open_signal,B,plausibilite OK
im_open_type_agreement,B,plausibilite OK
schema_version,C,metadonnee ou fuite
boot_id,C,metadonnee ou fuite
bars_since_boot,B,"desaccord de seuil, niveau permissif retenu"
data_quality_flag,C,moins de 100 valeurs
delta_div_slope_buy,B,plausibilite OK
delta_div_slope_sell,B,plausibilite OK
delta_div_slope_strength,B,plausibilite OK
delta_div_slope_buy_clean,B,plausibilite OK
delta_div_slope_sell_clean,B,plausibilite OK
delta_div_slope_clean,B,plausibilite OK
ts_raw_ms,C,metadonnee ou fuite
prev_vwap_sd2u,C,moins de 100 valeurs
prev_vwap_sd2d,C,moins de 100 valeurs
open_above_prev_vah,B,plausibilite OK
open_within_prev_va,B,plausibilite OK
open_below_prev_val,B,plausibilite OK
open_outside_prev_range,B,plausibilite OK
open_relation_type,B,plausibilite OK
profile_overlap_pct,B,plausibilite OK
